FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
6-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Fried Rice, 1 serving(s)",459,88g,10g,8g,0mg,667mg,10g,2g
"Wholesome Sweetners - Organic Turbinado Raw Cane Sugar, 1.5 tsp",23,6g,0g,#NAME?,0mg,#NAME?,6g,#NAME?
"Coffee - Black Coffee, 1 cup",5,1g,0g,0g,0mg,0mg,0g,0g
"Egg - Egg, 1 large",72,0g,5g,6g,186mg,71mg,0g,0g
Lunch,,,,,,,,
"Milk 2% - Milk, 0.5 cup",65,6g,3g,4g,10mg,65mg,6g,0g
"Spinach - Raw, 0.5 cup",3,1g,0g,0g,0mg,12mg,0g,0g
"Carrots, raw, 0.25 cup chopped",13,3g,0g,0g,0mg,22mg,2g,1g
"Aldis - Frozen Mixed Berries, 105 grams",53,12g,#NAME?,1g,#NAME?,#NAME?,8g,4g
"Body Fortress - Vanilla Protein Powder, 1 scoop",170,7g,3g,30g,85mg,70mg,2g,0g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
Dinner,,,,,,,,
"Pan Pasta, 1 serving(s)",390,59g,14g,10g,15mg,318mg,5g,4g
"Quesadilla, 1 serving(s)",350,25g,22g,17g,60mg,995mg,1g,1g
Snacks,,,,,,,,
"Aldi - White Sandwich Bread, 1 slice",73,14g,1g,2g,0mg,230mg,2g,1g
"Honey, 0.5 tsp(s)",11,3g,0g,0g,0mg,0mg,3g,0g
"Simply Nature - Organic Peanut Butter, 3 tbsp (32g)",300,11g,26g,12g,0mg,158mg,2g,5g
"Aldi/happy Farms Preferred - Brie Cheese, 1 oz",100,1g,9g,5g,30mg,170mg,0g,0g
"Aldi's Savoritz - Club House Crackers, 6 (Crackers) (14g)",105,14g,5g,2g,0mg,188mg,2g,0g
TOTAL:,"2,254",266g,98g,98g,386mg,"2,966mg",61g,21g
7-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Egg - Plain Whole Scrambled Egg, 2 large",140,0g,10g,12g,370mg,140mg,0g,0g
"Wholesome Sweetners - Organic Turbinado Raw Cane Sugar, 1.5 tsp",23,6g,0g,#NAME?,0mg,#NAME?,6g,#NAME?
"Coffee - Black Coffee, 1 cup",5,1g,0g,0g,0mg,0mg,0g,0g
"Cholula - Hot Sauce - Original, 0.75 tsp",0,0g,0g,0g,0mg,83mg,0g,0g
"Butter - Unsalted, 1 pat (1"" sq, 1/3"" high)",36,0g,4g,0g,11mg,1mg,0g,0g
"salt - Kosher Salt, 0.25 tsp.",0,0g,0g,0g,0mg,280mg,0g,0g
Lunch,,,,,,,,
"Pan Pasta, 1 serving(s)",390,59g,14g,10g,15mg,318mg,5g,4g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
Dinner,,,,,,,,
"Restaurant Chips - Tortilla Chips, 1 serving (about 14 chips)",140,17g,7g,2g,0mg,80mg,0g,2g
"Generic - Carnitas Soft Taco, 1 taco",250,18g,10g,18g,38mg,200mg,#NAME?,2g
"Taco Cabana - Barbacoa Taco, 1 taco",270,19g,13g,15g,55mg,420mg,0g,1g
"Chipotle - Chicken Tacos, 1 tacos",172,12g,7g,14g,52mg,343mg,2g,3g
Snacks,,,,,,,,
"Ben and jerrys - Pint slice, 1 bar",280,29g,18g,3g,40mg,70mg,25g,1g
TOTAL:,"1,768",176g,83g,75g,581mg,"1,935mg",50g,16g
8-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Cholula - Hot Sauce - 1 Serving, 1 tsp (5g)",0,#NAME?,#NAME?,#NAME?,#NAME?,110mg,#NAME?,#NAME?
"Quesadilla, 1 serving(s)",350,25g,22g,17g,60mg,995mg,1g,1g
"Ants on a log, 1 serving(s)",271,24g,17g,9g,0mg,282mg,16g,5g
Lunch,,,,,,,,
"Aldi - White Sandwich Bread, 1 slice",73,14g,1g,2g,0mg,230mg,2g,1g
"Cheese, cheddar, 0.15 cup, melted",149,0g,12g,9g,37mg,236mg,0g,0g
"Milk 2% - Milk, 0.5 cup",65,6g,3g,4g,10mg,65mg,6g,0g
"Blueberries, frozen, unsweetened, 1 cup, unthawed",79,19g,1g,1g,0mg,2mg,13g,4g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
"Carrots, raw, 0.5 cup chopped",26,6g,0g,1g,0mg,44mg,3g,2g
"Cholula - Hot Sauce - 1 Serving, 0.5 tsp (5g)",0,#NAME?,#NAME?,#NAME?,#NAME?,55mg,#NAME?,#NAME?
"Egg - Plain Whole Scrambled Egg, 2 large",140,0g,10g,12g,370mg,140mg,0g,0g
Dinner,,,,,,,,
"Baked Chicken Thighs, 0.17 serving(s)",81,8g,3g,5g,18mg,67mg,0g,1g
"Pasta Aglio e Olio, 1 serving(s)",908,91g,56g,15g,0mg,590mg,4g,5g
Snacks,,,,,,,,
"Simply Nature - Organic Peanut Butter, 1 tbsp (32g)",100,4g,9g,4g,0mg,53mg,1g,2g
"Aldi's Savoritz - Club House Crackers, 6 (Crackers) (14g)",105,14g,5g,2g,0mg,188mg,2g,0g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
TOTAL:,"2,471",241g,139g,83g,495mg,"3,057mg",72g,27g
9-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Baked Chicken Thighs, 0.17 serving(s)",81,8g,3g,5g,17mg,67mg,0g,1g
"Pasta Aglio e Olio, 0.25 serving(s)",227,23g,14g,4g,0mg,148mg,1g,1g
"Wholesome Sweetners - Organic Turbinado Raw Cane Sugar, 1.5 tsp",23,6g,0g,#NAME?,0mg,#NAME?,6g,#NAME?
"Coffee - Black Coffee, 1 cup",5,1g,0g,0g,0mg,0mg,0g,0g
"Dunkin' Donuts - Munchkins, 2 munchkin",140,18g,7g,2g,10mg,100mg,10g,0g
"Dunkin' Donuts - Blueberry Munchkin, 1 Munchkin",70,9g,4g,1g,5mg,50mg,5g,0g
Lunch,,,,,,,,
"Baked Chicken Thighs, 0.17 serving(s)",81,8g,3g,5g,18mg,67mg,0g,1g
"Pasta Aglio e Olio, 0.25 serving(s)",227,23g,14g,4g,0mg,148mg,1g,1g
"Blueberries, frozen, unsweetened, 0.5 cup, unthawed",40,9g,0g,0g,0mg,1mg,7g,2g
"Milk 2% - Milk, 0.25 cup",33,3g,1g,2g,5mg,33mg,3g,0g
"Body Fortress - Vanilla Protein Powder, 0.5 scoop",85,4g,1g,15g,43mg,35mg,1g,0g
"Natural - Orange, 2 orange",124,31g,0g,2g,0mg,0mg,24g,6g
Dinner,,,,,,,,
"Eurest - Beef Pho, 7.5 cup",915,183g,7g,30g,44mg,"2,196mg",27g,8g
Snacks,,,,,,,,
"Giant - Fruit Punch Soda, 9 oz. (355ml)",128,35g,0g,0g,0mg,30mg,35g,#NAME?
"Utz - Jalapeno and Cheddar Dip, 4 tbsp",70,4g,5g,0g,0mg,520mg,0g,0g
"Utz - Carolina Barbq Potato Chips, 1.88 oz",270,26g,17g,3g,0mg,410mg,1g,2g
"Aldi Mama Cozzi's - Pizza Rolls, 9 pieces (85g)",300,39g,11g,12g,23mg,690mg,2g,2g
"Kelloggs - Rice Krispie Treat Poppers (Chocolatey), 5 pieces",140,21g,6g,1g,0mg,85mg,13g,1g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
TOTAL:,"3,021",466g,93g,87g,165mg,"4,580mg",148g,28g
10-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Wholesome Sweetners - Organic Turbinado Raw Cane Sugar, 1.5 tsp",23,6g,0g,#NAME?,0mg,#NAME?,6g,#NAME?
"Coffee - Black Coffee, 1 cup",5,1g,0g,0g,0mg,0mg,0g,0g
Lunch,,,,,,,,
"Kraft - Original Mac and Cheese, 0.15 container (2 cups ea.)",75,15g,2g,3g,5mg,147mg,2g,1g
"Bibigo - Chicken & Vegetable Steamed Dumplings, 9 pieces per Tray (170 g)",375,51g,11g,23g,53mg,855mg,3g,3g
Dinner,,,,,,,,
"Quesadilla, 1 serving(s)",350,25g,22g,17g,60mg,995mg,1g,1g
"Baked Chicken Thighs, 0.17 serving(s)",81,8g,3g,5g,18mg,67mg,0g,1g
"Tomato Sandwich, 1 serving(s)",306,30g,19g,4g,0mg,748mg,4g,2g
Snacks,,,,,,,,
"Smoothie, 1 serving(s)",441,68g,6g,37g,90mg,170mg,48g,9g
TOTAL:,"1,656",204g,63g,89g,226mg,"2,982mg",64g,17g
11-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Tropical Smoothie, 1 serving(s)",441,68g,6g,37g,90mg,170mg,48g,9g
Lunch,,,,,,,,
"Broiled Asparagus, 0.5 serving(s)",165,9g,14g,5g,0mg,565mg,4g,5g
"Coffee, 1 serving(s)",28,7g,0g,0g,0mg,0mg,6g,0g
"Blueberries, 0.25 cup",21,5g,0g,0g,0mg,0mg,4g,1g
"Fusia Asian Inspirations - Reduced Sodium Soy Sauce, 0.33 tablespoon",5,0g,0g,0g,0mg,210mg,1g,0g
"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup",205,45g,0g,4g,0mg,2mg,0g,1g
Dinner,,,,,,,,
"salt - Kosher Salt, 0.15 tsp.",0,0g,0g,0g,0mg,168mg,0g,0g
"Boiled egg - Soft Boiled Egg, 2 unit",140,2g,10g,12g,0mg,130mg,0g,0g
"Golden Mountain - Oyster Sauce, 0.5 tbsp (16g)",5,1g,0g,0g,#NAME?,220mg,1g,#NAME?
"Broiled Asparagus, 0.5 serving(s)",165,9g,14g,5g,0mg,565mg,4g,5g
"Fusia Asian Inspirations - Reduced Sodium Soy Sauce, 0.33 tablespoon",5,0g,0g,0g,0mg,210mg,1g,0g
"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup",205,45g,0g,4g,0mg,2mg,0g,1g
Snacks,,,,,,,,
"Happy Farms Mexican Style Grated Cheese - Aldis - Mexican Grated Cheese, 0.25 CUP",110,1g,8g,6g,25mg,170mg,0g,0g
"Scrambled Eggs, 1.5 serving(s)",327,3g,27g,18g,523mg,"1,270mg",2g,0g
TOTAL:,"1,822",195g,79g,91g,638mg,"3,682mg",71g,22g
12-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Scrambled Eggs, 1 serving(s)",218,2g,18g,12g,349mg,847mg,2g,0g
"Aldi - White Sandwich Bread, 2 slice",146,28g,2g,4g,0mg,460mg,4g,2g
Lunch,,,,,,,,
"Tropical Smoothie, 1 serving(s)",441,68g,6g,37g,90mg,170mg,48g,9g
Dinner,,,,,,,,
"Barilla - Gemelli Pasta, 2 oz. dry or 1-1/8 cup cooked (56g - 1/8 box)",200,42g,1g,7g,0mg,0mg,2g,2g
"Spatchcocked Chicken (Dark / Leg and Thigh), 1 serving(s)",358,0g,23g,36g,135mg,402mg,0g,0g
"salt - Kosher Salt, 0.25 tsp.",0,0g,0g,0g,0mg,280mg,0g,0g
"Kirkland - Olive Oil, 1 tbsp",125,0g,14g,0g,0mg,0mg,0g,0g
"Generic - Roasted Yellow Peppers, 1 (50g)",15,3g,0g,0g,0mg,75mg,0g,0g
Snacks,,,,,,,,
"Tostitos - Original, 7 chips",140,19g,7g,2g,0mg,115mg,0g,1g
"Trader Joe's - Smoked Gouda, 0.75 slice",75,1g,6g,5g,11mg,285mg,0g,0g
"Aldi's Savoritz - Club House Crackers, 6 (Crackers) (14g)",105,14g,5g,2g,0mg,188mg,2g,0g
"Hummus, 1 serving(s)",122,13g,6g,4g,0mg,237mg,2g,4g
"Starbucks - Banana Nut Bread, 0.5 Slice",210,26g,11g,3g,28mg,175mg,16g,1g
TOTAL:,"2,155",216g,99g,112g,613mg,"3,234mg",76g,19g
13-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Tropical Smoothie, 1 serving(s)",441,68g,6g,37g,90mg,170mg,48g,9g
Lunch,,,,,,,,
"Spatchcocked Chicken (White / Breast), 1 serving(s)",330,0g,13g,50g,426mg,790mg,0g,0g
"Coffee, 1 serving(s)",28,7g,0g,0g,0mg,0mg,6g,0g
"Hummus, 0.5 serving(s)",61,6g,3g,2g,0mg,118mg,1g,2g
"Generic - Roasted Yellow Peppers, 0.5 (50g)",8,2g,0g,0g,0mg,38mg,0g,0g
Dinner,,,,,,,,
"Tomato Sandwich, 1 serving(s)",392,41g,22g,11g,10mg,731mg,8g,7g
"salt - Kosher Salt, 0.25 tsp.",0,0g,0g,0g,0mg,280mg,0g,0g
"Generic - Roasted Yellow Peppers, 1.5 (50g)",23,5g,0g,0g,0mg,113mg,0g,0g
"Barilla - Gemelli Pasta, 2 oz. dry or 1-1/8 cup cooked (56g - 1/8 box)",200,42g,1g,7g,0mg,0mg,2g,2g
Snacks,,,,,,,,
"Aldi Mama Cozzi's - Pizza Rolls, 8.0 pieces (85g)",267,35g,9g,11g,20mg,613mg,1g,1g
"Hershey Milk Chocolate - Milk Chocolate Bar, 0.4 bar",84,10g,5g,1g,4mg,14mg,10g,0g
"Kelloggs - Rice Krispie Treat Poppers (Chocolatey), 4 pieces",112,17g,5g,1g,0mg,68mg,10g,1g
"Kennesaw - Blood Orange Juice, 1 cup",120,29g,#NAME?,1g,#NAME?,#NAME?,28g,#NAME?
"Simply Nature - Organic Peanut Butter, 2 tbsp (32g)",200,7g,17g,8g,0mg,105mg,1g,3g
"Pink Lady Apple - Pink Lady Apple, 1 Medium",72,19g,0g,0g,0mg,1mg,14g,3g
TOTAL:,"2,338",288g,81g,129g,550mg,"3,041mg",129g,28g
14-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Spinach - Raw, 0.4 cup",3,0g,0g,0g,0mg,9mg,0g,0g
"Hummus, 1 serving(s)",122,13g,6g,4g,0mg,237mg,2g,4g
"Aldi - 100% Whole Wheat Bread, 2 slice 25 grams",200,38g,2g,10g,0mg,380mg,6g,6g
Lunch,,,,,,,,
"Stir Fry, 1 serving(s)",136,22g,6g,2g,0mg,497mg,11g,5g
"pueblos lindo - flour tortillas , 1 tortilla",120,24g,3g,3g,0mg,345mg,0g,1g
Dinner,,,,,,,,
"Spatchcocked Chicken (White / Breast), 1 serving(s)",330,0g,13g,50g,426mg,510mg,0g,0g
"Blueberry Smoothie, 1 serving(s)",441,67g,7g,37g,90mg,171mg,46g,11g
"Stir Fry, 1 serving(s)",136,22g,6g,2g,0mg,497mg,11g,5g
Snacks,,,,,,,,
"Tomato Sandwich, 1 serving(s)",392,41g,22g,11g,10mg,619mg,8g,7g
"cookies - Samoas, 1 cookies",70,10g,4g,1g,0mg,28mg,5g,1g
"Aldi's Savoritz - Club House Crackers, 6 (Crackers) (14g)",105,14g,5g,2g,0mg,188mg,2g,0g
"Hummus, 0.5 serving(s)",61,6g,3g,2g,0mg,118mg,1g,2g
TOTAL:,"2,116",257g,77g,124g,526mg,"3,599mg",92g,42g
15-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Hummus, 0.4 serving(s)",49,5g,3g,2g,0mg,95mg,1g,2g
"Cholula - Hot Sauce - 1 Serving, 1 tsp (5g)",0,#NAME?,#NAME?,#NAME?,#NAME?,110mg,#NAME?,#NAME?
"Quesadilla, 1 serving(s)",350,25g,22g,17g,60mg,995mg,1g,1g
"Blueberry Smoothie, 1 serving(s)",441,67g,7g,37g,90mg,171mg,46g,11g
"Spatchcocked Chicken (White / Breast), 0.2 serving(s)",66,0g,3g,10g,85mg,102mg,0g,0g
Lunch,,,,,,,,
"Simply Nature - Organic Peanut Butter, 2 tbsp (32g)",200,7g,17g,8g,0mg,105mg,1g,3g
"Pink Lady Apple - Pink Lady Apple, 1 Medium",72,19g,0g,0g,0mg,1mg,14g,3g
Dinner,,,,,,,,
"Fusia Asian Inspirations - Reduced Sodium Soy Sauce, 0.2 tablespoon",3,0g,0g,0g,0mg,126mg,0g,0g
"Jasmine Rice - Rice, 1 cup",160,36g,1g,3g,0mg,0mg,0g,1g
"Roasted Carrots, Green Beans, and Mushrooms, 1 serving(s)",134,28g,1g,6g,0mg,284mg,13g,9g
Snacks,,,,,,,,
"Arizona - Arnold Palmer - Half & Half, 16 oz",160,44g,0g,0g,0mg,20mg,42g,0g
"Aldi's Savoritz - Club House Crackers, 4 (Crackers) (14g)",70,9g,3g,1g,0mg,125mg,1g,0g
"Blueberries, 1.8 cup",153,38g,1g,2g,0mg,2mg,27g,6g
TOTAL:,"1,858",278g,58g,86g,235mg,"2,136mg",146g,36g
16-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Lunch,,,,,,,,
"Roasted Carrots, Green Beans, and Mushrooms, 1 serving(s)",134,28g,1g,6g,0mg,284mg,13g,9g
"Blueberry Smoothie, 1 serving(s)",441,67g,7g,37g,90mg,171mg,46g,11g
"Jasmine Rice - Rice, 1 cup",160,36g,1g,3g,0mg,0mg,0g,1g
Dinner,,,,,,,,
"Heinz - Carolina Vinegar Style Tangy BBQ, 1 tablespoon",18,4g,0g,0g,0mg,175mg,4g,0g
"Generic - Spinach Sauteed, 1/10 cup cooked",4,0g,0g,0g,0mg,26mg,0g,0g
"Seeds of Change - Quinoa Brown Rice, 0.75 cup",180,35g,3g,5g,#NAME?,300mg,1g,2g
"Eurest - Blanched Green Beans, 0.25 cup",12,3g,0g,1g,0mg,10mg,1g,1g
"Pork - Pork Chops, 4 oz",130,1g,5g,23g,55mg,210mg,1g,0g
Snacks,,,,,,,,
"Goldfish pouch - Goldfish, 1 pouch",130,19g,5g,3g,5mg,240mg,1g,1g
"Klondike - Mint Bar, 78 grams",230,26g,14g,1g,10mg,45mg,20g,1g
"Candy - Reese's Cups, 3 cups",315,36g,20g,8g,8mg,225mg,32g,2g
"Lay's - Lime & Sea Salt, 87 g",480,48g,30g,6g,0mg,405mg,6g,3g
TOTAL:,"2,234",303g,86g,93g,168mg,"2,091mg",125g,31g
17-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Coffee, 1 serving(s)",28,7g,0g,0g,0mg,0mg,6g,0g
Lunch,,,,,,,,
"Scrambled Eggs, 1 serving(s)",218,2g,18g,12g,349mg,847mg,2g,0g
"Great Value - Cheese - Cheddar - Extra Sharp, 0.5 oz",55,1g,5g,4g,15mg,90mg,0g,0g
Dinner,,,,,,,,
"Philadelphia - Cheesesteak, 19.8 -oz Cheesesteak sandwich","1,076",153g,32g,45g,68mg,"2,295mg",21g,8g
"Broccoli - Sauted, 0.75 cup",26,5g,0g,2g,0mg,31mg,0g,3g
TOTAL:,"1,403",168g,55g,63g,432mg,"3,263mg",29g,11g
18-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Salt - Salt, 0.25 tsp(s)",0,0g,0g,0g,0mg,34mg,0g,0g
"Kirkland - Olive Oil, 0.5 tbsp",63,0g,7g,0g,0mg,0mg,0g,0g
"Home - Plain Scrambled Eggs, 2 Egg",140,0g,8g,12g,360mg,130mg,#NAME?,#NAME?
"Generic - Spinach Sauteed, 3/4 cup cooked",27,3g,2g,2g,0mg,198mg,0g,2g
"Coffee, 1 serving(s)",28,7g,0g,0g,0mg,0mg,6g,0g
Lunch,,,,,,,,
"Vlasic - Dill Pickle Spears, 1 oz., about spear",5,1g,0g,0g,0mg,280mg,0g,0g
"Lay's - Flamin Hot Dill Pickle, 28 gram",150,15g,10g,2g,0mg,200mg,1g,1g
"Deli Chicken Sandwich, 1 serving(s)",699,56g,24g,17g,45mg,908mg,10g,4g
Dinner,,,,,,,,
"Pillsbury - Grands Biscuit, 2 Biscuit",340,50g,14g,6g,0mg,0mg,0g,0g
"Shepherds Pie - Shepherds Pie, 510 g",615,11g,55g,31g,113mg,"1,335mg",#NAME?,3g
Snacks,,,,,,,,
"Klondike - Dark Chocolate Bar, 1 bar",250,28g,14g,2g,10mg,50mg,21g,1g
"Pepperidge Farm - Goldfish 120 Calorie Pouch - Colors, 1 pouch",120,17g,5g,3g,5mg,190mg,0g,0g
"Kit Kat - Kit Kat, 5 two piece bars",350,45g,18g,5g,8mg,50mg,35g,2g
TOTAL:,"2,787",233g,157g,80g,541mg,"3,375mg",73g,13g
19-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Lunch,,,,,,,,
"Spinach - Raw, 0.5 cup",3,1g,0g,0g,0mg,12mg,0g,0g
"beefsteak tomato - Tomato, 0.5 medium",13,3g,0g,1g,0mg,10mg,2g,1g
"Avocado - Avocado, 0.5 medium",117,6g,11g,1g,0mg,5mg,1g,5g
"oscar mayer - natural slow roasted Turkey breast , 2 ounce",51,1g,1g,10g,20mg,516mg,0g,0g
"Sargento - Natural Muenster Cheese, 1 Slice (21g)",80,0g,6g,5g,20mg,140mg,0g,0g
"Old tyme - Honey Wheat Bread, 2 slice",160,30g,2g,6g,0mg,260mg,6g,2g
Dinner,,,,,,,,
"Peanut Butter Pickle Sandwich, 1 serving(s)",699,41g,46g,34g,86mg,"1,413mg",10g,5g
Snacks,,,,,,,,
"Sabra - Hummus- Roasted Garlic, 2 tbsp (28g)",70,5g,5g,2g,0mg,130mg,0g,1g
"Tostitos - Original Restaurant Style, 3 oz (28g/About 7 chips)",420,57g,21g,6g,0mg,345mg,0g,3g
"Great Value - Cheese - Cheddar - Extra Sharp, 0.5 oz",55,1g,5g,4g,15mg,90mg,0g,0g
"Pepperidge Farm - Goldfish 120 Calorie Pouch - Colors, 1 pouch",120,17g,5g,3g,5mg,190mg,0g,0g
"Klondike - Dark Chocolate Bar, 1 bar",250,28g,14g,2g,10mg,50mg,21g,1g
TOTAL:,"2,038",190g,116g,74g,156mg,"3,161mg",40g,18g
20-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Sabra - Hummus- Roasted Garlic, 5 tbsp (28g)",175,13g,13g,5g,0mg,325mg,0g,3g
